"id_claim_number","id_case_number","date_created","sku","name","user_description","value","value_selected"
3417,4434,2024-08-22 16:33:41.580,70001044,Calidad,"Cliente se queda con el producto, problemas de calidad",false,No
3417,4435,2024-08-22 16:40:25.990,70001021,Calidad,Seleccion de tipo problema de calidad,rust,Óxido
3417,4435,2024-08-22 16:40:25.990,70001021,Calidad,Cantidad reportada problemas de calidad,"3",
3417,4435,2024-08-22 16:40:25.990,70001021,Calidad,"Cliente se queda con el producto, problemas de calidad",false,No
3417,4435,2024-08-22 16:40:25.990,70001021,Calidad,"Cliente se queda con el producto, problemas de calidad",false,No
3417,4436,2024-08-22 16:42:20.485,70001021,Calidad,Seleccion de tipo problema de calidad,rust,Óxido
3417,4436,2024-08-22 16:42:20.485,70001021,Calidad,Cantidad reportada problemas de calidad,"7",
3417,4436,2024-08-22 16:42:20.485,70001021,Calidad,"Cliente se queda con el producto, problemas de calidad",false,No
3417,4436,2024-08-22 16:42:20.485,70001021,Calidad,"Cliente se queda con el producto, problemas de calidad",false,No
3415,4432,2024-08-22 15:40:28.027,70000714,Calidad,Cantidad reportada problemas de calidad,"2",
3413,4430,2024-08-22 14:48:40.748,50000258,Calidad,Cantidad reportada problemas de calidad,"01",
3418,4433,2024-08-22 16:17:15.715,50000445,Calidad,Seleccion de tipo problema de calidad,fold,Doblado
3418,4433,2024-08-22 16:17:15.715,50000445,Calidad,Cantidad reportada problemas de calidad,"1",
3413,4430,2024-08-22 14:48:40.748,50000258,Calidad,Seleccion de tipo problema de calidad,fold,Doblado
3417,4437,2024-08-22 16:48:45.462,70001044,Cantidad diferente,Resultado de seleccion producto faltante o sobrante,missing_amount,Faltante
3417,4437,2024-08-22 16:48:45.462,70001044,Cantidad diferente,Cantidad reportada cantidad diferente,"1",
3415,4432,2024-08-22 15:40:28.027,70000714,Calidad,Seleccion de tipo problema de calidad,manufacture_issue,Problema de fabricación
3415,4432,2024-08-22 15:40:28.027,70000714,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3338,4442,2024-08-22 19:46:08.974,50000087,Cantidad diferente,Resultado de seleccion producto faltante o sobrante,missing_amount,Faltante
3338,4442,2024-08-22 19:46:08.974,50000087,Cantidad diferente,Cantidad reportada cantidad diferente,"2",
3418,4433,2024-08-22 16:17:15.715,50000445,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3413,4430,2024-08-22 14:48:40.748,50000258,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3423,4444,2024-08-23 07:35:45.769,50012980,Cantidad diferente,Resultado de seleccion producto faltante o sobrante,missing_amount,Faltante
3423,4444,2024-08-23 07:35:45.769,50012980,Cantidad diferente,Cantidad reportada cantidad diferente,"5",
3425,4445,2024-08-23 08:35:11.625,50000075,Producto cruzado,Cantidad reportada producto cruzado,"1",
3425,4445,2024-08-23 08:35:11.625,50000075,Producto cruzado,"Cliente se queda con el producto, producto cruzado",false,No
3425,4445,2024-08-23 08:35:11.625,50000075,Producto cruzado,producto seleccionado flujo cantidad diferente,"50000075 - HIERRO ANGULAR 3/8"" X 3""",
3397,4415,2024-08-21 13:43:44.035,50000342,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3427,4447,2024-08-23 12:51:55.090,50000288,Calidad,Seleccion de tipo problema de calidad,rust,Óxido
3427,4447,2024-08-23 12:51:55.090,50000288,Calidad,Cantidad reportada problemas de calidad,"02",
3427,4447,2024-08-23 12:51:55.090,50000288,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3429,4448,2024-08-23 14:14:45.376,50000749,Producto cruzado,Cantidad reportada producto cruzado,"30",
3429,4448,2024-08-23 14:14:45.376,50000749,Producto cruzado,"Cliente se queda con el producto, producto cruzado",false,
3420,4449,2024-08-23 15:40:51.269,50000755,Calidad,Seleccion de tipo problema de calidad,fold,Doblado
3420,4449,2024-08-23 15:40:51.269,50000755,Calidad,Cantidad reportada problemas de calidad,"01",
3420,4449,2024-08-23 15:40:51.269,50000755,Calidad,"Cliente se queda con el producto, problemas de calidad",false,No
3419,4438,2024-08-22 16:55:22.764,50000536,Calidad,Seleccion de tipo problema de calidad,rust,Óxido
3419,4438,2024-08-22 16:55:22.764,50000536,Calidad,Cantidad reportada problemas de calidad,"75",
3419,4438,2024-08-22 16:55:22.764,50000536,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3434,4454,2024-08-23 18:09:15.178,50011052,Calidad,Cantidad reportada problemas de calidad,"1",
3429,4448,2024-08-23 14:14:45.376,50000749,Producto cruzado,producto seleccionado flujo cantidad diferente,"50000749",
3434,4454,2024-08-23 18:09:15.178,50011052,Calidad,Seleccion de tipo problema de calidad,fold,Doblado
3434,4454,2024-08-23 18:09:15.178,50011052,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3431,4452,2024-08-23 17:37:36.196,50000064,Cantidad diferente,Resultado de seleccion producto faltante o sobrante,missing_amount,Faltante
3431,4452,2024-08-23 17:37:36.196,50000064,Cantidad diferente,Cantidad reportada cantidad diferente,"1",
3435,4455,2024-08-23 18:11:18.994,50000082,Calidad,Seleccion de tipo problema de calidad,rust,Óxido
3435,4455,2024-08-23 18:11:18.994,50000082,Calidad,Cantidad reportada problemas de calidad,"50",
3435,4455,2024-08-23 18:11:18.994,50000082,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3439,4457,2024-08-24 11:03:50.025,50000342,Calidad,Seleccion de tipo problema de calidad,manufacture_issue,Problema de fabricación
3439,4457,2024-08-24 11:03:50.025,50000342,Calidad,Cantidad reportada problemas de calidad,"30",
3439,4457,2024-08-24 11:03:50.025,50000342,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3439,4456,2024-08-24 11:01:51.644,50000343,Calidad,Seleccion de tipo problema de calidad,manufacture_issue,Problema de fabricación
3439,4456,2024-08-24 11:01:51.644,50000343,Calidad,Cantidad reportada problemas de calidad,"20",
3439,4456,2024-08-24 11:01:51.644,50000343,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3444,4460,2024-08-26 09:29:40.701,50000535,Producto cruzado,Cantidad reportada producto cruzado,"200",
3444,4460,2024-08-26 09:29:40.701,50000535,Producto cruzado,"Cliente se queda con el producto, producto cruzado",false,No
3443,4459,2024-08-26 09:14:39.223,50000534,Calidad,Cantidad reportada problemas de calidad,"1",
3426,4446,2024-08-23 12:08:53.487,50000518,Producto cruzado,Cantidad reportada producto cruzado,"09",
3422,4443,2024-08-22 22:10:23.169,50000633,Calidad,Seleccion de tipo problema de calidad,manufacture_issue,Problema de fabricación
3422,4443,2024-08-22 22:10:23.169,50000633,Calidad,Cantidad reportada problemas de calidad,"01",
3420,4439,2024-08-22 16:59:08.754,50000755,Calidad,Seleccion de tipo problema de calidad,manufacture_issue,Problema de fabricación
3420,4439,2024-08-22 16:59:08.754,50000755,Calidad,Cantidad reportada problemas de calidad,"1",
3420,4440,2024-08-22 17:00:25.902,50000755,Calidad,Seleccion de tipo problema de calidad,manufacture_issue,Problema de fabricación
3420,4440,2024-08-22 17:00:25.902,50000755,Calidad,Cantidad reportada problemas de calidad,"1",
3444,4460,2024-08-26 09:29:40.701,50000535,Producto cruzado,producto seleccionado flujo cantidad diferente,"50000535 - TUBO NEG.CUAD. 1 1/4"" CH16L",
3443,4459,2024-08-26 09:14:39.223,50000534,Calidad,Seleccion de tipo problema de calidad,"0",Doblado
3443,4459,2024-08-26 09:14:39.223,50000534,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3445,4461,2024-08-26 10:44:31.542,50000166,Calidad,Seleccion de tipo problema de calidad,technical_especification,Especificación técnica
3445,4461,2024-08-26 10:44:31.542,50000166,Calidad,Cantidad reportada problemas de calidad,"1",
3445,4461,2024-08-26 10:44:31.542,50000166,Calidad,"Cliente se queda con el producto, problemas de calidad",false,No
3445,4461,2024-08-26 10:44:31.542,50000166,Calidad,"Cliente se queda con el producto, problemas de calidad",false,No
3445,4462,2024-08-26 10:48:07.238,50000166,Calidad,Seleccion de tipo problema de calidad,technical_especification,Especificación técnica
3445,4462,2024-08-26 10:48:07.238,50000166,Calidad,Cantidad reportada problemas de calidad,"4",
3445,4462,2024-08-26 10:48:07.238,50000166,Calidad,"Cliente se queda con el producto, problemas de calidad",false,No
3445,4462,2024-08-26 10:48:07.238,50000166,Calidad,"Cliente se queda con el producto, problemas de calidad",false,No
3447,4464,2024-08-26 12:05:36.058,50005317,Cantidad diferente,Resultado de seleccion producto faltante o sobrante,missing_amount,Faltante
3447,4464,2024-08-26 12:05:36.058,50005317,Cantidad diferente,Cantidad reportada cantidad diferente,"1",
3446,4463,2024-08-26 11:48:52.675,50000234,Calidad,Seleccion de tipo problema de calidad,fold,Doblado
3446,4463,2024-08-26 11:48:52.675,50000234,Calidad,Cantidad reportada problemas de calidad,"200",
3446,4463,2024-08-26 11:48:52.675,50000234,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3451,4466,2024-08-26 12:46:28.238,50000342,Cantidad diferente,Resultado de seleccion producto faltante o sobrante,missing_amount,Faltante
3451,4466,2024-08-26 12:46:28.238,50000342,Cantidad diferente,Cantidad reportada cantidad diferente,"03",
3451,4465,2024-08-26 12:45:34.024,50000342,Calidad,Seleccion de tipo problema de calidad,manufacture_issue,Problema de fabricación
3451,4465,2024-08-26 12:45:34.024,50000342,Calidad,Cantidad reportada problemas de calidad,"05",
3451,4465,2024-08-26 12:45:34.024,50000342,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3452,4467,2024-08-26 13:21:37.670,50000352,Calidad,Seleccion de tipo problema de calidad,rust,Óxido
3452,4467,2024-08-26 13:21:37.670,50000352,Calidad,Cantidad reportada problemas de calidad,"2",
3452,4467,2024-08-26 13:21:37.670,50000352,Calidad,"Cliente se queda con el producto, problemas de calidad",false,No
3452,4467,2024-08-26 13:21:37.670,50000352,Calidad,"Cliente se queda con el producto, problemas de calidad",true,Sí
3449,4470,2024-08-26 14:48:47.923,50000148,Cantidad diferente,Resultado de seleccion producto faltante o sobrante,leftover_quantity,Sobrante
3449,4470,2024-08-26 14:48:47.923,50000148,Cantidad diferente,Cantidad reportada cantidad diferente,"80",
3455,4471,2024-08-26 14:51:20.407,50000281,Calidad,Seleccion de tipo problema de calidad,fold,Doblado
3455,4471,2024-08-26 14:51:20.407,50000281,Calidad,Cantidad reportada problemas de calidad,"2",
3455,4471,2024-08-26 14:51:20.407,50000281,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3454,4469,2024-08-26 14:25:59.943,50000047,Calidad,Seleccion de tipo problema de calidad,rust,Óxido
3454,4469,2024-08-26 14:25:59.943,50000047,Calidad,Cantidad reportada problemas de calidad,"8",
3454,4469,2024-08-26 14:25:59.943,50000047,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3453,4468,2024-08-26 14:21:36.068,50000047,Calidad,Seleccion de tipo problema de calidad,rust,Óxido
3453,4468,2024-08-26 14:21:36.068,50000047,Calidad,Cantidad reportada problemas de calidad,"64",
3453,4468,2024-08-26 14:21:36.068,50000047,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3426,4446,2024-08-23 12:08:53.487,50000518,Producto cruzado,"Cliente se queda con el producto, producto cruzado",false,
3426,4446,2024-08-23 12:08:53.487,50000518,Producto cruzado,producto seleccionado flujo cantidad diferente,"",
3458,4474,2024-08-26 17:03:06.207,50011059,Calidad,Seleccion de tipo problema de calidad,manipulation_damage,Daño por manipulación
3458,4474,2024-08-26 17:03:06.207,50011059,Calidad,Cantidad reportada problemas de calidad,"100",
3458,4474,2024-08-26 17:03:06.207,50011059,Calidad,"Cliente se queda con el producto, problemas de calidad",false,No
3458,4474,2024-08-26 17:03:06.207,50011059,Calidad,"Cliente se queda con el producto, problemas de calidad",false,No
3457,4473,2024-08-26 16:43:31.396,50000519,Calidad,Seleccion de tipo problema de calidad,fold,Doblado
3457,4473,2024-08-26 16:43:31.396,50000519,Calidad,Cantidad reportada problemas de calidad,"1",
3457,4473,2024-08-26 16:43:31.396,50000519,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3456,4472,2024-08-26 15:18:02.641,50000445,Calidad,Seleccion de tipo problema de calidad,fold,Doblado
3456,4472,2024-08-26 15:18:02.641,50000445,Calidad,Cantidad reportada problemas de calidad,"3",
3456,4472,2024-08-26 15:18:02.641,50000445,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3459,4475,2024-08-27 08:27:24.889,50000252,Calidad,Seleccion de tipo problema de calidad,fold,Doblado
3459,4475,2024-08-27 08:27:24.889,50000252,Calidad,Cantidad reportada problemas de calidad,"30",
3459,4475,2024-08-27 08:27:24.889,50000252,Calidad,"Cliente se queda con el producto, problemas de calidad",true,Sí
3459,4475,2024-08-27 08:27:24.889,50000252,Calidad,"Vendedor selecciona solicitar un descuento o no, problemas de calidad",true,Sí
3459,4475,2024-08-27 08:27:24.889,50000252,Calidad,Campo que almacena el valor de descuento seleccionado por problemas de calidad,"5.00",
3460,4476,2024-08-27 08:32:11.274,50000693,Calidad,Seleccion de tipo problema de calidad,manufacture_issue,Problema de fabricación
3460,4476,2024-08-27 08:32:11.274,50000693,Calidad,Cantidad reportada problemas de calidad,"461",
3460,4476,2024-08-27 08:32:11.274,50000693,Calidad,"Cliente se queda con el producto, problemas de calidad",true,Sí
3460,4476,2024-08-27 08:32:11.274,50000693,Calidad,"Vendedor selecciona solicitar un descuento o no, problemas de calidad",true,Sí
3460,4476,2024-08-27 08:32:11.274,50000693,Calidad,Campo que almacena el valor de descuento seleccionado por problemas de calidad,"12.00",
3462,4477,2024-08-27 09:02:23.345,50000072,Cantidad diferente,Resultado de seleccion producto faltante o sobrante,leftover_quantity,Sobrante
3056,4048,2024-07-19 16:26:32.398,50010837,Cantidad diferente,Resultado de seleccion producto faltante o sobrante,missing_amount,Faltante
3462,4477,2024-08-27 09:02:23.345,50000072,Cantidad diferente,Cantidad reportada cantidad diferente,"10",
3464,4478,2024-08-27 10:25:01.927,50000477,Calidad,Seleccion de tipo problema de calidad,fold,Doblado
3464,4478,2024-08-27 10:25:01.927,50000477,Calidad,Cantidad reportada problemas de calidad,"01",
3464,4478,2024-08-27 10:25:01.927,50000477,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3422,4443,2024-08-22 22:10:23.169,50000633,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3466,4480,2024-08-27 13:15:13.551,50000650,Calidad,Seleccion de tipo problema de calidad,"0",
3465,4479,2024-08-27 11:35:01.535,50000298,Calidad,Cantidad reportada problemas de calidad,"10",
3466,4480,2024-08-27 13:15:13.551,50000650,Calidad,Cantidad reportada problemas de calidad,"1",
3466,4480,2024-08-27 13:15:13.551,50000650,Calidad,"Cliente se queda con el producto, problemas de calidad",false,No
3466,4480,2024-08-27 13:15:13.551,50000650,Calidad,"Cliente se queda con el producto, problemas de calidad",false,No
